title,location,price,bedrooms,bathrooms,agency,link,desc
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands","KSh 400,000/ month",5 Bedrooms,4 Bathrooms,potaria-properties,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-gigiri-3829920,5 Bed House with En Suite in Gigiri
4 Bed House with En Suite at Off Ruaka Drive,"Off Ruaka drive, Runda, Westlands","KSh 580,000/ month",4 Bedrooms,4 Bathrooms,mambo-properties-enterprise,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3829899,4 Bed House with En Suite at Off Ruaka Drive
4 Bed Villa at Green Wood Drive,"Green wood drive, Nyali Area, Nyali","KSh 130,000/ month",4 Bedrooms,3 Bathrooms,nan,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-nyali-area-3827858,4 Bed Villa at Green Wood Drive
5 Bed House with En Suite in Nyari,"Nyari, Westlands","KSh 400,000/ month",5 Bedrooms,5 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-nyari-3830303,5 Bed House with En Suite in Nyari
7 Bed House with En Suite in Karen,Karen,"KSh 450,000/ month",7 Bedrooms,8 Bathrooms,newpoint-properties,https://www.buyrentkenya.com/listings/7-bedroom-house-for-rent-karen-3830300,7 Bed House with En Suite in Karen
5 Bed Townhouse with En Suite in Karen,Karen,"KSh 380,000/ month",5 Bedrooms,5 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-3830290,5 Bed Townhouse with En Suite in Karen
4 Bed Townhouse with En Suite in Rosslyn,"Rosslyn, Westlands","KSh 350,000/ month",4 Bedrooms,4 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-rosslyn-3830286,4 Bed Townhouse with En Suite in Rosslyn
3 Bed House with Garden in Karura,"Karura, Westlands","KSh 322,500/ month",3 Bedrooms,nan,final-find-realtors,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-karura-3830283,3 Bed House with Garden in Karura
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","KSh 380,000/ month",5 Bedrooms,5 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-kitisuru-3830285,5 Bed House with En Suite in Kitisuru
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands","KSh 160,000/ month",4 Bedrooms,4 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-westlands-area-3830278,4 Bed Townhouse with En Suite in Westlands Area
4 Bed House with En Suite in Kyuna,"Kyuna, Westlands","KSh 260,000/ month",4 Bedrooms,4 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kyuna-3830276,4 Bed House with En Suite in Kyuna
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","KSh 530,000/ month",4 Bedrooms,4 Bathrooms,archstone-realtors,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3807016,4 Bed House with En Suite in Kitisuru
5 Bed Townhouse with En Suite at Thigiri Farm,"36, Thigiri farm, Thigiri, Westlands","KSh 520,000/ month",5 Bedrooms,5 Bathrooms,jaros-homes,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-thigiri-3830256,5 Bed Townhouse with En Suite at Thigiri Farm
3 Bed House with En Suite in Runda,"Runda, Westlands","KSh 220,000/ month",3 Bedrooms,3 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-runda-3830260,3 Bed House with En Suite in Runda
4 Bed House with En Suite in Runda,"Runda, Westlands","KSh 270,000/ month",4 Bedrooms,4 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3830258,4 Bed House with En Suite in Runda
5 Bed Townhouse with En Suite in Lavington,Lavington,"KSh 350,000/ month",5 Bedrooms,5 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830257,5 Bed Townhouse with En Suite in Lavington
2 Bed Townhouse in Lavington,Lavington,"KSh 375,000/ month",2 Bedrooms,nan,sovereign-estate-consultants,https://www.buyrentkenya.com/listings/furnished-2-bedroom-townhouse-for-rent-lavington-3830232,2 Bed Townhouse in Lavington
5 Bed House with En Suite in Riverside,"Riverside, Westlands","KSh 300,000/ month",5 Bedrooms,5 Bathrooms,destiny-homes,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-riverside-3830137,5 Bed House with En Suite in Riverside
5 Bed Villa with En Suite at Lavington,Lavington,"KSh 400,000/ month",5 Bedrooms,5 Bathrooms,simkar-group-limited,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-lavington-1-3595458,5 Bed Villa with En Suite at Lavington
5 Bed Townhouse with En Suite at Off Waiyaki Way,"Off Waiyaki Way, Lavington","KSh 400,000/ month",5 Bedrooms,6 Bathrooms,simkar-group-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830208,5 Bed Townhouse with En Suite at Off Waiyaki Way
5 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands","KSh 250,000/ month",5 Bedrooms,5 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-brookside-3830194,5 Bed Townhouse with En Suite in Brookside
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","KSh 555,000/ month",4 Bedrooms,4 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3830193,4 Bed House with En Suite in Kitisuru
4 Bed House with En Suite in Lavington,Lavington,"KSh 360,000/ month",4 Bedrooms,4 Bathrooms,geoscape-global-limited,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3830185,4 Bed House with En Suite in Lavington
4 Bed House with En Suite in Ruaka,Ruaka,"KSh 80,000/ month",4 Bedrooms,4 Bathrooms,scoreline-consult,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-ruaka-3830175,4 Bed House with En Suite in Ruaka
4 Bed Villa with En Suite in Kilimani,Kilimani,"KSh 170,000/ month",4 Bedrooms,4 Bathrooms,asturian-properties,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-kilimani-3830171,4 Bed Villa with En Suite in Kilimani
