title,location,price,bedrooms,bathrooms,agency,link,desc
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands","400,000",5,4,potaria-properties,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-gigiri-3829920,5 Bed House with En Suite in Gigiri
4 Bed House with En Suite at Off Ruaka Drive,"Off Ruaka drive, Runda, Westlands","580,000",4,4,mambo-properties-enterprise,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3829899,4 Bed House with En Suite at Off Ruaka Drive
4 Bed Villa at Green Wood Drive,"Green wood drive, Nyali Area, Nyali","130,000",4,3,nan,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-nyali-area-3827858,4 Bed Villa at Green Wood Drive
1 Bed House with En Suite in Ridgeways,Ridgeways,"129,000",1,1,pam-golding-properties,https://www.buyrentkenya.com/listings/1-bedroom-house-for-rent-ridgeways-3830582,1 Bed House with En Suite in Ridgeways
5 Bed Townhouse with En Suite at Lavington Green,"Maziwa, Lavington green, Lavington","250,000",5,5,lavingtonmanagement,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830553,5 Bed Townhouse with En Suite at Lavington Green
4 Bed House with En Suite in Karen,Karen,"350,000",4,4,urban-hut,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3830573,4 Bed House with En Suite in Karen
5 Bed House with En Suite in Karen,Karen,"350,000",5,5,urban-hut,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3830571,5 Bed House with En Suite in Karen
4 Bed House with En Suite in Karen,Karen,"450,000",4,4,urban-hut,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3830569,4 Bed House with En Suite in Karen
5 Bed Townhouse with Gym in Lavington,Lavington,"400,000",5,5,urban-hut,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3830568,5 Bed Townhouse with Gym in Lavington
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands","250,000",4,4,kensimenterprises,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kitisuru-3830555,4 Bed Townhouse with En Suite in Kitisuru
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands","380,000",4,4,kensimenterprises,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kitisuru-3830554,4 Bed Townhouse with En Suite in Kitisuru
6 Bed Townhouse with Garden at Few Minutes Drive To Gigiri,"Few minutes drive to Gigiri, Runda, Westlands","780,000",6,7,falcon-sight-properties,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-rent-runda-3830552,6 Bed Townhouse with Garden at Few Minutes Drive To Gigiri
4 Bed House with En Suite in Thigiri,"Thigiri ridge Nairobi., Thigiri, Westlands","7,000",4,5,spacetech-enterprises,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-thigiri-3830550,4 Bed House with En Suite in Thigiri
4 Bed Villa with En Suite at Red Hill Rd,"Red hill rd, Redhill","170,000",4,4,risper-nyabate,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-red-hill-3830538,4 Bed Villa with En Suite at Red Hill Rd
